respid,sample,attempt,fcall,refusal,int_date,ilang,cregion,state,density,sstate,susr,usr,scregion,sdensity,llitext,qintro2,form,qs3,qs4,qs5,qs6,qs1,q1,q2,campnii,thought,q5,q9,q9a,Q9HORSE3,q10,q10a,q10b,q10c,q10d,q10horse,q11,q12,oftvote,q20,q23,q24f1,q25f2,q30a,q30b,q33a,q33b,q34a,q34b,q34c,q35,q40a,q40b,q40c,q40d,q40e,q40f,q40if1,q40jf1,q40kf1,q40lf1,q40nf2,q40of2,q40pf2,q40qf2,q41,q42,q45a,q45b,q45c,q45d,q48a,q48b,q48c,q49a,q49b,q50a,q50b,q50c,q50d,q50ef1,q50ff1,q50gf1,q50hf1,q50if2,q50jf2,q50kf2,q50lf2,q55,q56,q57,q58,q59,q60,q71,q72,q78,q79,q80,q81,sex,age,gen5,educ,hisp,racem1,racem2,racem3,racem4,adults,racecmb,racethn,birth_hisp,qtaa5,lan1,lan2,lan3,lan4,marital,relig,chr,qe3sos,born,attend,q82,q83,q84,q85,income,reg,party,partyln,partysum,partyideo,ideo,q86,q87,hh1,hh3,ql1,ql1a,qc1,money2,isex,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,ll,cp,hispoversample,Primary_Language,cellweight,weight
201843,2,3,160619,0,160619,2,4,6,4,6,,S,4,4, , ,2, , , , ,2,1,2,3,3,1,1, , ,1, , , , , , , , ,9,1, ,2, , , , ,1,1,2,1,1,1,1,1,1,1, , , , ,2,1,1,1, , ,3,1,2,1, , , , , ,2,2,2,2, , , , ,2,2,2,2,2,1,3,2,1,3, , ,2,1,2,2,1,40,4,3,1,7, , , ,3,5,3,3,1,1,1,3,3,1,2, ,,2,3,2, ,3, ,3,3,2, ,2,4,3, , ,4,3, , ,2,9,2,1,4, , , ,0,1, ,3,0.4034465,0.4316883
201847,2,4,160619,0,160619,2,4,32,2,6,,U,4,5, , ,2, , , , ,2,1,1,1,3,1,1, , ,1, , , , , , , , ,1,1, ,2, , , , ,1,1,1,1,1,1,1,1,1,1, , , , ,1,4,1,1, , ,1,1,1,1, , , , , ,2,2,2,2, , , , ,2,2,2,2,1,1,3,1,2,2, , ,1,2,2,2,2,42,4,2,1,1, , , ,3,1,3,3,1,2,1,4,4,2,2, ,,2,4,2, ,3, ,1,3,3,2,2,3,2, , ,6,3, , ,2,1,2,1,1, , , ,0,1, ,3,1.1268286,0.9248011
201848,2,3,160619,0,160619,1,3,12,2,42,,U,1,4, , ,2, , , , ,2,2,2,1,1,1,2, ,2,2, ,1,1, ,2, ,2,1,2,1, ,2,2,1,4,1,2,1,2,1,1,1,1,1,1,1, , , , ,1,2,2,2,1,1,4,4,4,2,1,1,1,2,1,1,1,1,1, , , , ,1,1,1,2,4,3,3,3,2,3,1,1,4,1,2,2,1,54,3,6,2,1, , , ,2,1,1, ,2, , , , ,5,2, ,,1,6,1, ,1, ,5,1,3,1,1,3,3, ,2,2,2, , ,2,9,2,2,1, , , ,0,1, , ,0.6020798,0.6186972
201849,2,3,160619,0,160619,1,4,32,1,32,,R,4,1, , ,1, , , , ,2,2,2,2,1,1,2, , ,2, , , , , , , , ,2,2,2, , , , , ,1,1,2,3,1,1,1,1,2,2,1,2,3,3, , , , , , ,2,4,3,3, , , , , ,1,1,1,1,1,1,1,2, , , , ,4,3,4,4,1,3, , ,3,1,2,1,1,28,5,4,2,1, , , ,2,1,1, ,2, , , , ,6,12, ,, ,5,2, , ,3,10,2,3,1,1,3,2, , ,2,2, , ,2,9,2,2,1, , , ,0,1, , ,1.0982851,1.4677008
201851,2,6,160619,0,160622,1,4,16,1,16,,R,4,1, , ,2, , , , ,2,1,1,2,3,3,1, ,1,1, ,2, ,1,1,1, ,2,3,1, ,2,2,3,2,3,1,2,2,3,1,2,1,1,1,2, , , , ,3,2,3,2,2,1,3,2,3,2,3,2,2,3,3,1,2,2,1, , , , ,2,2,1,2,4,3,3,3,2,3,2,2,2,1,2,3,1,69,3,3,2,1, , , ,1,1,1, ,2, , , , ,3,10, ,, ,6,1, , ,1,2,1,3,2,2,3,4,1, ,1, , , ,2,9,2,1,1, , , ,0,1, , ,1.0696119,0.8989947
201852,2,2,160619,0,160619,2,3,12,4,12,,S,3,4, , ,1, , , , ,2,1,1,3,3,2,1, , ,1, , , , , , , , ,3,2,2, , , , , ,1,1,2,3,1,3,1,1,1,1,1,1,1,1, , , , , , ,5,1,1,1, , , , , ,2,2,2,2,1,1,2,2, , , , ,2,3,3,2,2,2, , ,3,1,1,3,2,37,4,2,1,9, , , ,1,9,3,3,1,1,1,3,3,6,12, ,, ,5,2, , ,2,3,3,2, ,2,4,3, , ,3,1, , ,1,9,2,1,1, , , ,1,1, ,3,0.7829238,0.6184207
201853,2,2,160619,0,160619,1,3,5,2,5,,,3,2, , ,2, , , , ,2,2,2,2,1,3,9,9,9,9,9, , , ,9,9,9,1,4,2, ,1,2,4,4,4,1,1,2,3,1,1,1,1,3,2, , , , ,2,1,4,1,2,1,3,3,1,3,3,2,2,3,3,1,1,3,1, , , , ,2,9,1,2,4,3,4,2,1,3,9,9,1,2,1,1,1,99,9,3,9,1, , , ,2,1,1, ,2, , , , ,1,1, ,,1,1,2,1, , ,10,1,1, ,1,1,2, ,1,2,2, , ,2,9,2,2,1, , , ,0,1, , ,1.6731138,2.0176916
201854,2,8,160619,0,160624,2,3,48,1,48,,S,3,1, , ,2, , , , ,2,1,1,4,1,2,1, , ,1, , , , , , , , ,3,1, ,2, , , , ,1,1,2,3,1,1,1,1,1,1, , , , ,1,3,1,1, , ,1,1,1,1, , , , , ,1,9,1,2, , , , ,1,2,9,9,3,1,3,2,1,1, , ,2,1,2,1,1,32,5,1,1,7, , , ,1,5,3,3,1,1,1,3,3,1,2, ,,2,4,2, ,3, ,6,3,3,2,2,3,4, , ,3,1, , ,2,9,2,1,1, , , ,0,1, ,3,0.5144701,0.6013971
201855,2,2,160619,1,160619,1,2,18,3,18,,U,2,2, , ,1, , , , ,2,2,2,2,1,1,2, ,2,9,2, ,2, ,2, ,2,2,4,2,2, ,4,2,4,2,1,2,2,9,1,1,1,1,1,1,1,2,1,1, , , , ,1,9,2,4,9,9,1,1,3,2,3,1,1,1,1,1,1,3,2, , , , ,3,3,3,2,2,2,2,3,2,1,2,1,2,49,4,4,2,1, , , ,2,1,1, ,2, , , , ,1,1, ,,1,2,2,3, , ,10,1,1, ,1,1,2, ,2,2,2, , ,1,9,1,2,1, , , ,1,1, , ,1.9131992,1.4871111
201857,2,7,160619,0,160619,1,1,34,5,34,,,1,5, , ,1, , , , ,2,2,9,1,1,1,9,2,2,2, ,2,2, ,2, ,2,3,3,1,2, ,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,2, , , , ,1,1,2,3,4,2,1,3,3,3,1,1,1,3,1,3,1,2,1, , , , ,3,3,3,2,2,3,2,2,2,2,2,2,1,59,3,8,2,1, , , ,1,1,1, ,2, , , , ,3,2, ,,2,4,2, ,3, ,10,1,3,1,1,3,3, ,2,1, , , ,2,9,2,2,1, , , ,0,1, , ,0.8942825,0.8114457
